Region,Restriction,Start,End
Abruzzo,Yellow,2020-11-06,2020-11-10
Abruzzo,Orange,2020-11-11,2020-11-17
Abruzzo,Red,2020-11-18,2020-12-12
Abruzzo,Orange,2020-12-13,2020-12-23
Abruzzo,Red,2020-12-24,2020-12-27
Abruzzo,Orange,2020-12-28,2020-12-30
Abruzzo,Red,2020-12-31,2021-01-03
Abruzzo,Orange,2021-01-04,2021-01-04
Abruzzo,Red,2021-01-05,2021-01-06
Abruzzo,Yellow,2021-01-07,2021-01-17
Abruzzo,Orange,2021-01-18,2021-01-31
Abruzzo,Yellow,2021-02-01,2021-02-13
Abruzzo,Orange,2021-02-14,2021-03-22
Basilicata,Yellow,2020-11-06,2020-11-10
Basilicata,Orange,2020-11-11,2020-12-12
Basilicata,Yellow,2020-12-13,2020-12-23
Basilicata,Red,2020-12-24,2020-12-27
Basilicata,Orange,2020-12-28,2020-12-30
Basilicata,Red,2020-12-31,2021-01-03
Basilicata,Orange,2021-01-04,2021-01-04
Basilicata,Red,2021-01-05,2021-01-06
Basilicata,Yellow,2021-01-07,2021-02-28
Basilicata,Red,2021-03-01,2021-03-15
Basilicata,Orange,2021-03-16,2021-03-22
Calabria,Red,2020-11-06,2020-11-28
Calabria,Orange,2020-11-29,2020-12-12
Calabria,Yellow,2020-12-13,2020-12-23
Calabria,Red,2020-12-24,2020-12-27
Calabria,Orange,2020-12-28,2020-12-30
Calabria,Red,2020-12-31,2021-01-03
Calabria,Orange,2021-01-04,2021-01-04
Calabria,Red,2021-01-05,2021-01-06
Calabria,Yellow,2021-01-07,2021-01-08
Calabria,Orange,2021-01-09,2021-01-31
Calabria,Yellow,2021-02-01,2021-03-14
Calabria,Orange,2021-03-15,2021-03-22
Campania,Yellow,2020-11-06,2020-11-14
Campania,Red,2020-11-15,2020-12-05
Campania,Orange,2020-12-06,2020-12-19
Campania,Yellow,2020-12-20,2020-12-23
Campania,Red,2020-12-24,2020-12-27
Campania,Orange,2020-12-28,2020-12-30
Campania,Red,2020-12-31,2021-01-03
Campania,Orange,2021-01-04,2021-01-04
Campania,Red,2021-01-05,2021-01-06
Campania,Yellow,2021-01-07,2021-02-20
Campania,Orange,2021-02-21,2021-03-07
Campania,Red,2021-03-08,2021-03-22
Emilia-Romagna,Yellow,2020-11-06,2020-11-14
Emilia-Romagna,Orange,2020-11-15,2020-12-05
Emilia-Romagna,Yellow,2020-12-06,2020-12-23
Emilia-Romagna,Red,2020-12-24,2020-12-27
Emilia-Romagna,Orange,2020-12-28,2020-12-30
Emilia-Romagna,Red,2020-12-31,2021-01-03
Emilia-Romagna,Orange,2021-01-04,2021-01-04
Emilia-Romagna,Red,2021-01-05,2021-01-06
Emilia-Romagna,Yellow,2021-01-07,2021-01-08
Emilia-Romagna,Orange,2021-01-09,2021-01-31
Emilia-Romagna,Yellow,2021-02-01,2021-02-20
Emilia-Romagna,Orange,2021-02-21,2021-03-14
Emilia-Romagna,Red,2021-03-15,2021-03-22
FriuliVeneziaGiulia,Yellow,2020-11-06,2020-11-14
FriuliVeneziaGiulia,Orange,2020-11-15,2020-12-05
FriuliVeneziaGiulia,Yellow,2020-12-06,2020-12-23
FriuliVeneziaGiulia,Red,2020-12-24,2020-12-27
FriuliVeneziaGiulia,Orange,2020-12-28,2020-12-30
FriuliVeneziaGiulia,Red,2020-12-31,2021-01-03
FriuliVeneziaGiulia,Orange,2021-01-04,2021-01-04
FriuliVeneziaGiulia,Red,2021-01-05,2021-01-06
FriuliVeneziaGiulia,Yellow,2021-01-07,2021-01-17
FriuliVeneziaGiulia,Orange,2021-01-18,2021-01-31
FriuliVeneziaGiulia,Yellow,2021-02-01,2021-03-07
FriuliVeneziaGiulia,Orange,2021-03-08,2021-03-14
FriuliVeneziaGiulia,Red,2021-03-15,2021-03-22
Lazio,Yellow,2020-11-06,2020-12-23
Lazio,Red,2020-12-24,2020-12-27
Lazio,Orange,2020-12-28,2020-12-30
Lazio,Red,2020-12-31,2021-01-03
Lazio,Orange,2021-01-04,2021-01-04
Lazio,Red,2021-01-05,2021-01-06
Lazio,Yellow,2021-01-07,2021-01-17
Lazio,Orange,2021-01-18,2021-01-31
Lazio,Yellow,2021-02-01,2021-03-14
Lazio,Red,2021-03-15,2021-03-22
Liguria,Yellow,2020-11-06,2020-11-10
Liguria,Orange,2020-11-11,2020-11-28
Liguria,Yellow,2020-11-29,2020-12-23
Liguria,Red,2020-12-24,2020-12-27
Liguria,Orange,2020-12-28,2020-12-30
Liguria,Red,2020-12-31,2021-01-03
Liguria,Orange,2021-01-04,2021-01-04
Liguria,Red,2021-01-05,2021-01-06
Liguria,Yellow,2021-01-07,2021-01-17
Liguria,Orange,2021-01-18,2021-01-31
Liguria,Yellow,2021-02-01,2021-02-13
Liguria,Orange,2021-02-14,2021-02-28
Liguria,Yellow,2021-03-01,2021-03-14
Liguria,Orange,2021-03-15,2021-03-22
Lombardia,Red,2020-11-06,2020-11-28
Lombardia,Orange,2020-11-29,2020-12-12
Lombardia,Yellow,2020-12-13,2020-12-23
Lombardia,Red,2020-12-24,2020-12-27
Lombardia,Orange,2020-12-28,2020-12-30
Lombardia,Red,2020-12-31,2021-01-03
Lombardia,Orange,2021-01-04,2021-01-04
Lombardia,Red,2021-01-05,2021-01-06
Lombardia,Yellow,2021-01-07,2021-01-08
Lombardia,Orange,2021-01-09,2021-01-17
Lombardia,Red,2021-01-18,2021-01-23
Lombardia,Orange,2021-01-24,2021-01-31
Lombardia,Yellow,2021-02-01,2021-02-28
Lombardia,Orange,2021-03-01,2021-03-14
