$1 Date; $2 Region; $3 Cases; $4 New cases; $5 New recovered; $6 New deaths; $7 New tests; $8 Percentage of positive tests; $9 Restricion color
2020-11-06;Abruzzo;8895;432;105;12;3274;13.1949;Yellow
2020-11-06;Basilicata;2415;105;21;4;1158;9.06736;Yellow
2020-11-06;Calabria;4795;392;74;4;3550;11.0423;Red
2020-11-06;Campania;65506;4309;984;15;22696;18.9857;Yellow
2020-11-06;Emilia-Romagna;35649;2009;60;29;20218;9.93669;Yellow
2020-11-06;Friuli_Venezia_Giulia;7360;872;260;7;8692;10.0322;Yellow
2020-11-06;Lazio;49036;2618;239;27;30644;8.54327;Yellow
2020-11-06;Liguria;12108;1092;641;35;5630;19.3961;Yellow
2020-11-06;Lombardia;127629;11489;1118;108;46099;24.9224;Red
2020-11-06;Marche;9827;631;36;8;3603;17.5132;Yellow
2020-11-06;Molise;1557;152;0;0;815;18.6503;Yellow
2020-11-06;P.A.Bolzano;7480;773;332;7;3460;22.341;Yellow
2020-11-06;P.A.Trento;2618;251;61;5;2623;9.5692;Yellow
2020-11-06;Piemonte;51489;4437;819;45;17390;25.5147;Red
2020-11-06;Puglia;16573;1054;96;14;7081;14.8849;Orange
2020-11-06;Sardegna;8071;425;36;4;3426;12.4051;Yellow
2020-11-06;Sicilia;20737;1363;104;35;8431;16.1665;Orange
2020-11-06;Toscana;41583;2787;614;30;18143;15.3613;Yellow
2020-11-06;Umbria;9370;688;199;4;4834;14.2325;Yellow
2020-11-06;Valle_Aosta;2181;117;97;7;486;24.0741;Red
2020-11-06;Veneto;47657;3815;70;25;19420;19.6447;Yellow
2020-11-07;Abruzzo;9331;584;147;0;3349;17.438;Yellow
2020-11-07;Basilicata;2654;246;6;1;1236;19.9029;Yellow
2020-11-07;Calabria;5020;359;130;4;3182;11.2822;Red
2020-11-07;Campania;69652;4601;440;15;25806;17.8292;Yellow
2020-11-07;Emilia-Romagna;37852;2360;121;35;12950;18.2239;Yellow
2020-11-07;Friuli_Venezia_Giulia;7641;504;214;9;4486;11.235;Yellow
2020-11-07;Lazio;51378;2489;131;16;24486;10.165;Yellow
2020-11-07;Liguria;12408;886;584;2;4856;18.2455;Yellow
2020-11-07;Lombardia;132410;6318;1420;117;38188;16.5445;Red
2020-11-07;Marche;10241;502;83;5;2946;17.0401;Yellow
2020-11-07;Molise;1642;91;3;3;746;12.1984;Yellow
2020-11-07;P.A.Bolzano;7987;781;270;4;2998;26.0507;Yellow
2020-11-07;P.A.Trento;2753;182;46;1;1659;10.9705;Yellow
2020-11-07;Piemonte;54197;3884;1141;35;14819;26.2096;Red
2020-11-07;Puglia;17187;766;131;21;6723;11.3937;Orange
2020-11-07;Sardegna;8427;424;66;2;4292;9.87884;Yellow
2020-11-07;Sicilia;21467;1083;340;13;6894;15.7093;Orange
2020-11-07;Toscana;43447;2479;586;29;15542;15.9503;Yellow
2020-11-07;Umbria;9800;660;220;10;4085;16.1567;Yellow
2020-11-07;Valle_Aosta;2172;55;61;3;478;11.5063;Red
2020-11-07;Veneto;50970;3362;43;6;11423;29.4318;Yellow
2020-11-08;Abruzzo;9872;625;77;6;3951;15.8188;Yellow
2020-11-08;Basilicata;2777;132;9;0;731;18.0575;Yellow
2020-11-08;Calabria;5445;443;14;4;2204;20.0998;Red
2020-11-08;Campania;72320;3120;434;18;15793;19.7556;Yellow
2020-11-08;Emilia-Romagna;39630;2025;238;8;12471;16.2377;Yellow
2020-11-08;Friuli_Venezia_Giulia;7832;320;124;5;2324;13.7694;Yellow
2020-11-08;Lazio;53274;2153;241;16;22518;9.56124;Yellow
2020-11-08;Liguria;12721;538;204;21;3130;17.1885;Yellow
2020-11-08;Lombardia;131459;4777;5629;99;21121;22.6173;Red
2020-11-08;Marche;10451;262;45;7;1266;20.6951;Yellow
2020-11-08;Molise;1660;98;79;1;1016;9.64567;Yellow
2020-11-08;P.A.Bolzano;8414;583;152;4;2241;26.0152;Yellow
2020-11-08;P.A.Trento;2974;257;30;6;1009;25.4708;Yellow
2020-11-08;Piemonte;56256;2876;768;49;13036;22.062;Red
2020-11-08;Puglia;17813;730;97;7;4103;17.7919;Orange
2020-11-08;Sardegna;8593;327;148;13;2927;11.1718;Yellow
2020-11-08;Sicilia;21939;1023;524;27;8458;12.0951;Orange
2020-11-08;Toscana;44480;2244;1178;33;13690;16.3915;Yellow
2020-11-08;Umbria;9996;314;109;9;1040;30.1923;Yellow
2020-11-08;Valle_Aosta;2266;201;105;2;670;30;Red
2020-11-08;Veneto;53162;2223;10;21;14026;15.8491;Yellow
2020-11-09;Abruzzo;10428;746;163;26;4766;15.6525;Yellow
2020-11-09;Basilicata;2987;224;12;2;1571;14.2584;Yellow
2020-11-09;Calabria;5847;409;0;7;3082;13.2706;Red
2020-11-09;Campania;74228;2716;790;18;14290;19.0063;Yellow
2020-11-09;Emilia-Romagna;41780;2430;252;21;22539;10.7813;Yellow
2020-11-09;Friuli_Venezia_Giulia;7841;482;453;20;6438;7.4868;Yellow
2020-11-09;Lazio;55589;2608;257;36;29315;8.89647;Yellow
2020-11-09;Liguria;13336;1172;518;39;7022;16.6904;Yellow
