Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A.Bolzano,P.A.Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,Number of white regions,Number of yellow regions,Number of orange regions,Number of red regions
2020-11-06,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Red,Orange,Yellow,Orange,Yellow,Yellow,Red,Yellow,0,15,2,4
2020-11-07,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Red,Orange,Yellow,Orange,Yellow,Yellow,Red,Yellow,0,15,2,4
2020-11-08,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Red,Orange,Yellow,Orange,Yellow,Yellow,Red,Yellow,0,15,2,4
2020-11-09,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Red,Orange,Yellow,Orange,Yellow,Yellow,Red,Yellow,0,15,2,4
2020-11-10,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Red,Orange,Yellow,Orange,Yellow,Yellow,Red,Yellow,0,15,2,4
2020-11-11,Orange,Orange,Red,Yellow,Yellow,Yellow,Yellow,Orange,Red,Yellow,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Orange,Orange,Red,Yellow,0,9,7,5
2020-11-12,Orange,Orange,Red,Yellow,Yellow,Yellow,Yellow,Orange,Red,Yellow,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Orange,Orange,Red,Yellow,0,9,7,5
2020-11-13,Orange,Orange,Red,Yellow,Yellow,Yellow,Yellow,Orange,Red,Yellow,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Orange,Orange,Red,Yellow,0,9,7,5
2020-11-14,Orange,Orange,Red,Yellow,Yellow,Yellow,Yellow,Orange,Red,Yellow,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Orange,Orange,Red,Yellow,0,9,7,5
2020-11-15,Orange,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,9,7
2020-11-16,Orange,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,9,7
2020-11-17,Orange,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,9,7
2020-11-18,Orange,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,9,7
2020-11-19,Orange,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,9,7
2020-11-20,Orange,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,9,7
2020-11-21,Orange,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,9,7
2020-11-22,Red,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,8,8
2020-11-23,Red,Orange,Red,Red,Orange,Orange,Yellow,Orange,Red,Orange,Yellow,Red,Yellow,Red,Orange,Yellow,Orange,Red,Orange,Red,Yellow,0,5,8,8
