Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;86.8;99.6;100;99.7;3362;1.05;203;772;23;30;22.9;3;0.8;1;96.5;36
Basilicata;99.4;100;100;100;2399;1.12;4;0;6;18;10.1;2;1.2;6.2;100;36
Calabria;75.4;98.5;97.9;98.3;4483;1.02;13;241;16;33;11.4;3;0.9;0.6;85;36
Campania;92.2;99;100;99.3;14601;0.76;556;2958;16;33;10.6;1;0.8;1.5;96;36
Emilia-Romagna;100;100;100;99.6;24000;0.97;57;4161;31;41;14.1;3;1.2;1.6;81.2;36
FVG;100;100;97.8;99.7;8973;0.88;705;1621;36;54;21.3;3;1.3;1.3;88.9;36
Lazio;90.5;98.7;100;84;21554;0.94;316;359;32;43;23.1;4;0.9;1;96;36
Liguria;94.2;99.7;95.3;98.4;4458;0.99;233;149;28;37;89;3;1;0.9;97.1;36
Lombardia;68;99.6;100;98.7;29002;0.82;1759;5676;35;32;24.9;4;0.9;0.9;95.1;36
Marche;99.9;99.5;100;100;7137;0.98;133;1374;38;50;99;1;1;1.4;100;36
Molise;94.3;97.6;100;100;880;1.38;13;0;25;28;12.7;0;1.1;2.8;100;36
Piemonte;94.4;99.1;99.7;98.8;12417;1.04;805;1433;27;43;8.8;4;1.3;1.9;96.3;36
PA Bolzano;78.2;98.1;100;99.5;2947;1.03;38;310;39;39;41;3;5.6;1.4;100;36
PA Trento;100;100;100;97;2452;0.9;17;1250;51;45;20;3;1.1;1.6;100;36
Puglia;96.4;100;100;100;15680;1.08;173;5116;31;39;37.6;4;0.9;0.8;91.5;36
Sardegna;92.6;99.4;100;99.9;3913;0.95;235;270;31;30;12.2;3;0.7;1.9;81.5;36
Sicilia;90.4;99.7;100;99.7;24182;1.27;1065;4661;26;35;29.9;2;0.7;2;86.5;36
Toscana;98.6;100;100;99.5;6079;0.98;218;1195;22;14;93;0;1.8;1.6;100;36
Umbria;92.8;100;100;99;2863;1.05;151;493;36;38;15.1;3;1.5;3.1;100;36
V.d'Aosta;96.9;98.9;100;100;307;1.12;76;0;10;20;18.9;3;2;2.5;100;36
Veneto;92.7;100;99.8;100;32908;0.81;2071;1362;32;36;83;2;1;1.8;96;36
