Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;95.2;100.0;100.0;99.6;3452;0.92;259;467;27;37;9;2;0.8;1;97.9;48
Basilicata;99.3;100.0;100.0;100.0;1836;1.08;11;2;14;37;11.2;4;1.5;5.2;93;48
Calabria;85.4;99.4;100.0;99.6;5571;0.9;30;278;28;50;13.5;3;0.9;0.6;82.8;48
Campania;99.6;96.0;100.0;99.6;24509;1;1455;2412;21;37;13.6;1;0.8;1.6;92.8;48
Emilia-Romagna;100.0;100.0;100.0;99.7;19815;0.78;100;3392;44;41;13.8;2;1.3;1.6;89.6;48
FVG;99.5;100.0;100.0;99.9;5311;0.72;351;671;43;39;11;3;1.2;1.2;94.3;48
Lazio;94.3;99.9;100.0;96.9;21067;0.79;188;234;42;48;19.8;3;0.9;1;92;48
Liguria;92.9;100.0;100.0;97.8;5817;1;314;179;38;35;9.3;3;0.8;0.8;93.2;48
Lombardia;84.5;100.0;100.0;98.6;40436;0.78;2232;7990;56;44;12.9;3;0.9;1;91.1;48
Marche;96.6;99.8;100.0;100.0;5484;0.9;154;536;51;51;12.5;0;0.8;1.4;100;48
Molise;97.8;100.0;100.0;100.0;379;0.79;12;0;38;21;6;0;1.1;2.6;99.5;48
Piemonte;80.6;100.0;99.9;99.0;22959;0.75;1351;2079;50;61;10.7;6;1.5;2.1;96;48
PA Bolzano;94.5;100.0;100.0;96.8;1386;0.87;2;297;13;16;23.8;2;2.2;3.7;98;48
PA Trento;94.5;100.0;100.0;97.1;1657;0.69;9;572;41;25;14.8;3;1.1;1.6;100;48
Puglia;97.5;100.0;100.0;100.0;21793;0.89;200;4766;45;52;20.1;3;0.9;1;82.2;48
Sardegna;89.0;100.0;100.0;100.0;4419;1.38;426;422;27;21;9;4;0.5;2;93.6;48
Sicilia;97.8;100.0;100.0;99.7;14836;1.03;718;3749;21;31;18.7;2;0.7;2.4;98.1;48
Toscana;98.1;100.0;100.0;99.4;17573;1.01;752;3051;45;33;18.2;1;2;1.7;100;48
Umbria;96.3;100.0;100.0;99.2;1933;0.84;167;317;31;33;11.1;2;0.9;3;100;48
V.d'Aosta;98.0;100.0;100.0;100.0;980;1.26;54;211;40;30;18.6;2;1.7;1.7;100;48
Veneto;95.0;100.0;100.0;100.0;16544;0.81;1333;1296;27;26;6.4;1;1;1.8;71.2;48
