Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;96.1;100.0;100.0;99.6;5685;1.13;543;1538;38;39;8.05;2;0.8;1;98.6;41
Basilicata;100.0;100.0;75.0;100.0;1159;1.51;9;3;6;19;7.05;1;1.8;4.4;94.1;41
Calabria;94.3;98.0;100.0;99.9;2395;1.01;20;59;12;20;7.08;2;0.9;0.6;94.5;41
Campania;91.7;99.8;100.0;99.0;20983;1.04;1046;1635;21;32;11.06;1;0.9;1.7;94.4;41
Emilia-Romagna;100.0;100.0;100.0;99.7;19094;1.01;101;5131;26;33;15.01;2;1.2;1.6;94.2;41
FVG;100.0;100.0;100.0;99.9;3851;0.83;246;859;33;28;7.06;2;1.2;1.2;98.3;41
Lazio;94.4;99.7;100.0;85.6;13394;0.94;206;162;24;29;16.08;3;0.9;1;96.5;41
Liguria;96.1;99.9;100.0;98.1;4025;0.94;254;117;25;28;8;2;1;0.9;97.9;41
Lombardia;71.3;99.9;100.0;98.7;29795;0.82;1640;9108;33;38;23.01;3;0.9;0.9;86.1;41
Marche;99.9;100.0;100.0;100.0;5598;0.98;168;1165;33;47;10.01;2;1;1.5;100;41
Molise;95.4;99.3;100.0;100.0;1207;1.11;10;0;38;48;11.04;0;1.1;2.9;100;41
Piemonte;80.3;99.1;99.6;98.8;10670;1.02;830;1491;23;33;7.05;4;1.4;1.9;98.7;41
PA Bolzano;85.7;99.8;100.0;99.5;7109;0.92;4;391;33;47;41.4;2;5.6;1.4;100;41
PA Trento;99.7;100.0;100.0;97.3;3074;1.07;21;1486;36;30;16.09;2;1.1;1.6;100;41
Puglia;97.2;100.0;100.0;100.0;11369;0.95;112;2690;29;35;15.09;3;1;1.1;95.9;41
Sardegna;95.9;100.0;100.0;100.0;1161;0.68;122;62;12;15;4.01;4;0.6;1.9;96.9;41
Sicilia;87.8;100.0;100.0;99.4;7436;0.71;291;1323;16;21;9.01;2;0.8;2.2;91.1;41
Toscana;97.7;100.0;100.0;99.4;10203;1.19;653;2445;28;16;6.08;1;1.9;1.5;100;41
Umbria;92.8;100.0;100.0;99.5;4508;1.07;349;622;56;56;16.07;3;0.9;3;100;41
V.d'Aosta;100.0;100.0;100.0;100.0;121;0.94;17;24;0;3;7.02;2;2;2.4;100;41
Veneto;90.4;100.0;100.0;100.0;9671;0.97;1016;1067;10;13;4.07;1;1;1.8;92.8;41
