Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;95.1;99.8;98.3;99.7;3136;0.81;239;881;22;28;14;2;0.8;1;96.5;37
Basilicata;99.6;100;100;100;963;0.91;1;4;2;20;6.8;2;1.2;6.2;100;37
Calabria;78.1;98.2;98.1;99;4134;0.82;12;108;12;31;11;3;0.9;0.6;89.2;37
Campania;92.3;98.7;100;99.3;13569;0.97;489;1933;16;33;8.8;1;0.8;1.5;96;37
Emilia-Romagna;100;100;100;99.8;19521;0.77;66;3244;29;37;12.1;2;1.2;1.6;81.2;37
FVG;100;99.8;97.9;99.8;6581;0.68;526;1429;37;52;12.5;3;1.3;1.3;96;37
Lazio;90.9;99.4;100;84.2;17352;0.73;166;341;30;40;20.9;4;0.9;1;96;37
Liguria;95.2;99.6;97.9;98.4;3919;0.87;217;263;30;35;8.3;2;1;0.9;97.1;37
Lombardia;76.8;99.6;100;98.7;24144;0.84;1431;5639;33;33;20.7;3;0.9;0.9;85;37
Marche;100;99.5;100;100;6088;0.88;129;1289;31;46;9.5;0;1;1.5;100;37
Molise;99.3;100;100;100;809;1.51;9;0;19;23;9.6;-1;1.1;2.8;100;37
Piemonte;95.2;99.1;99.6;98.9;9650;0.82;689;1223;26;40;7.8;5;1.3;1.9;96.3;37
PA Bolzano;80.9;98.1;100;98.4;2851;0.8;10;421;30;40;35.1;2;5.6;1.4;100;37
PA Trento;100;100;100;97.1;1469;0.56;15;944;40;36;13.7;2;1.1;1.6;100;37
Puglia;95.9;100;100;100;14278;0.9;137;4002;39;41;21.3;3;1;0.9;97.1;37
Sardegna;93.7;99.2;100;99.9;3255;0.81;210;164;22;28;8.1;2;0.7;1.9;81.5;37
Sicilia;85.3;99.7;99.7;99.7;21697;0.98;780;4602;28;34;23.1;2;0.7;2;86.5;37
Toscana;98.7;100;100;99.5;5868;0.95;313;1227;18;14;9.3;0;1.8;1.6;100;37
Umbria;94.7;99.8;100;99;3163;0.96;206;597;38;43;15.9;2;1.5;3.1;100;37
V.d'Aosta;98.9;98.7;100;100;232;0.82;47;0;20;19;15.2;3;2;2.5;100;37
Veneto;93.1;100;100;100;19687;0.61;1462;1121;26;29;6.5;1;1;1.8;97;37
