Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;82.4;99.9;100.0;99.6;6626;0.8;311;1273;37;44;32;2;0.9;1;87;30
Basilicata;90.7;100.0;100.0;100.0;2370;0.65;6;25;17;27;8.5;6;2.7;4.8;100;30
Calabria;63.0;100.0;100.0;93.3;4641;0.64;12;181;16;40;11.3;2;0.9;0.6;95;30
Campania;90.9;99.9;99.4;90.4;29020;0.71;789;3800;23;42;14.8;1;0.7;1.3;91.3;30
Emilia-Romagna;100.0;100.0;100.0;99.4;28032;0.81;78;6209;31;50;28;2;0.9;1.4;73.6;30
FVG;99.9;100.0;100.0;99.7;10809;0.97;826;1329;37;52;24.9;4;1;1.2;91.7;30
Lazio;93.6;99.4;99.7;71.1;27615;0.67;235;312;36;48;23.6;3;0.9;1;85.4;30
Liguria;75.9;99.9;100.0;97.4;5652;0.63;182;151;41;47;8.6;3;1.1;1.1;81.9;30
Lombardia;75.1;99.9;100.0;98.4;57499;0.82;2595;12124;56;44;31.7;4;1;1;84.1;30
Marche;99.9;100.0;100.0;100.0;5799;0.8;175;1240;45;43;19.8;2;0.8;1.5;100;30
Molise;98.7;100.0;100.0;100.0;1377;1.45;0;0;24;23;12.2;0;1.5;2.4;100;30
Piemonte;99.6;99.8;99.9;98.8;28213;0.64;1156;2733;53;71;16.2;6;1;1.6;92;30
PA Bolzano;90.8;99.5;100.0;99.5;4161;0.67;50;557;39;42;50.5;4;5.4;1.4;100;30
PA Trento;99.9;100.0;100.0;95.5;2971;0.91;28;1188;53;71;22;4;1.1;1.6;95;30
Puglia;93.9;99.9;100.0;100.0;20834;0.8;156;5037;43;47;34.7;5;0.9;1.4;92;30
Sardegna;67.1;100.0;100.0;99.7;5693;0.7;333;299;34;37;14.5;5;0.5;1.6;67.6;30
Sicilia;83.1;99.8;100.0;98.5;18360;0.68;303;5422;25;32;11.6;4;0.5;1.6;63.7;30
Toscana;81.3;100.0;100.0;99.5;13692;0.76;312;2490;42;27;14.9;0;2.2;1.7;96.6;30
Umbria;86.3;100.0;100.0;99.3;3375;0.66;5;1030;44;42;14.7;3;1.5;3.1;90.3;30
V.d'Aosta;93.9;100.0;100.0;99.7;704;0.6;107;3;27;47;29.2;3;2.2;1.9;100.4;30
Veneto;86.2;100.0;100.0;100;42567;0.91;4576;4564;32;42;12.7;2;1;1.8;96.9;30
