Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;86.0;99.9;100.0;99.7;4615;0.82;217;1051;31;40;32;2;0.9;1;100;31
Basilicata;98.0;100.0;100.0;100.0;1375;0.61;0;20;12;23;8.5;6;2.7;4.8;95;31
Calabria;75.5;100.0;98.2;95.8;3352;0.74;10;88;14;36;11.3;2;0.9;0.6;91.3;31
Campania;91.8;100.0;100.0;99.0;20272;0.59;451;2546;20;37;14.8;1;0.7;1.3;73.6;31
Emilia-Romagna;100.0;100.0;100.0;99.4;23723;0.84;151;5329;28;50;28;2;0.9;1.4;91.7;31
FVG;99.9;100.0;100.0;99.8;10014;0.7;689;1235;32;51;24.9;4;1;1.2;85.4;31
Lazio;93.1;99.4;99.6;72.4;21485;1.04;261;253;34;45;23.6;3;0.9;1;81.9;31
Liguria;81.6;99.9;100.0;97.6;4170;0.73;167;98;33;46;8.6;3;1.1;1.1;84.1;31
Lombardia;80.2;99.9;100.0;98.4;37800;1.02;1811;7878;51;38;31.7;4;1;1;100;31
Marche;99.9;100.0;100.0;100.0;5244;0.97;154;1215;40;39;19.8;2;0.8;1.5;100;31
Molise;98.0;100.0;100.0;100.0;1055;1.16;11;0;24;27;12.2;0;1.5;2.4;92;31
Piemonte;98.5;99.7;99.8;98.8;19207;0.68;742;1645;42;65;16.2;6;1;1.6;100;31
PA Bolzano;91.9;99.5;100.0;99.5;3190;0.81;45;571;31;40;50.5;4;5.4;1.4;95;31
PA Trento;99.9;100.0;100.0;95.2;2798;1.05;2;1007;59;68;22;4;1.1;1.6;92;31
Puglia;89.1;100.0;100.0;100.0;19754;0.9;104;4180;41;44;34.7;5;0.9;1.4;67.6;31
Sardegna;64.8;99.8;100.0;99.7;5132;0.83;225;94;32;34;14.5;5;0.7;1.6;63.7;31
Sicilia;90.1;99.9;100.0;99.1;15642;0.72;700;3183;23;29;11.6;4;0.5;1.6;96.6;31
Toscana;90.9;100.0;100.0;99.5;9796;0.68;182;1730;37;23;14.9;0;2.1;1.7;90.3;31
Umbria;91.8;100.0;100.0;99.3;2450;0.75;143;709;35;38;14.7;3;1.5;3.1;100.4;31
V.d'Aosta;93.5;100.0;100.0;99.8;408;0.57;56;2;18;42;29.2;3;2.2;1.9;96.9;31
Veneto;86.2;100;100;100;47052;1.08;5315;5442;35;45;12.7;2;1;1.8;82.3;31
